	paer.final	pflr.final	psyr.final
Number of genes	156	168	121
Number of genes in orthogroups	80	99	82
Number of unassigned genes	76	69	39
Percentage of genes in orthogroups	51.3	58.9	67.8
Percentage of unassigned genes	48.7	41.1	32.2
Number of orthogroups containing species	61	84	69
Percentage of orthogroups containing species	62.9	86.6	71.1
Number of species-specific orthogroups	3	4	3
Number of genes in species-specific orthogroups	7	8	6
Percentage of genes in species-specific orthogroups	4.5	4.8	5.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	36	13	28
'1	46	73	57
'2	11	8	11
'3	4	2	1
'4	0	1	0
'5	0	0	0
'6	0	0	0
'7	0	0	0
'8	0	0	0
'9	0	0	0
'10	0	0	0
11-15	0	0	0
16-20	0	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	37.1	13.4	28.9
'1	47.4	75.3	58.8
'2	11.3	8.2	11.3
'3	4.1	2.1	1.0
'4	0.0	1.0	0.0
'5	0.0	0.0	0.0
'6	0.0	0.0	0.0
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	46	73	57
'2	22	16	22
'3	12	6	3
'4	0	4	0
'5	0	0	0
'6	0	0	0
'7	0	0	0
'8	0	0	0
'9	0	0	0
'10	0	0	0
11-15	0	0	0
16-20	0	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	29.5	43.5	47.1
'2	14.1	9.5	18.2
'3	7.7	3.6	2.5
'4	0.0	2.4	0.0
'5	0.0	0.0	0.0
'6	0.0	0.0	0.0
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
