Orthogroup	paer.final	pflr.final	psyr.final
OG0000000	PA0162, PA2760	PFLU0296, PFLU0824, PFLU0957, PFLU5860	PSPTO_0369, PSPTO_3987, PSPTO_5318
OG0000001	PA2349, PA3931, PA5505	PFLU0068, PFLU0215, PFLU0239	PSPTO_5187, PSPTO_5260
OG0000002	PA0300, PA2592, PA3610	PFLU1213, PFLU2564, PFLU3150	PSPTO_2785
OG0000003	PA3462, PA5153	PFLU0313, PFLU5570	PSPTO_2912, PSPTO_5245
OG0000004	PA0874, PA1233, PA3412	PFLU4767	PSPTO_1824
OG0000005	PA5378, PA5388	PFLU5673, PFLU5680	PSPTO_0464
OG0000006	PA0039	PFLU0040	PSPTO_0151, PSPTO_0154
OG0000007	PA0283, PA1493	PFLU1796	PSPTO_3625
OG0000008	PA1811	PFLU2639, PFLU2640	PSPTO_3716
OG0000009	PA3239	PFLU1581, PFLU1808	PSPTO_1620
OG0000010	PA3938	PFLU0255	PSPTO_4238, PSPTO_5319
OG0000011	PA4168	PFLU0593	PSPTO_1206, PSPTO_3462
OG0000012	PA0347	PFLU4789	PSPTO_3461
OG0000013	PA0423	PFLU5725	PSPTO_5071
OG0000014	PA0604	PFLU5567	PSPTO_0563
OG0000015	PA0884, PA4616	PFLU3470	
OG0000016	PA1445	PFLU4426	PSPTO_1971
OG0000017	PA1726		PSPTO_3318, PSPTO_4290
OG0000018	PA2257, PA2482, PA5490		
OG0000019	PA2266, PA4619	PFLU0053	
OG0000020	PA2433	PFLU5280	PSPTO_4516
OG0000021	PA3053	PFLU3362	PSPTO_3264
OG0000022	PA3205	PFLU4885	PSPTO_1805
OG0000023	PA3227	PFLU4533	PSPTO_4090
OG0000024	PA3404, PA4974	PFLU3142	
OG0000025	PA3586	PFLU1120	PSPTO_4178
OG0000026	PA3785	PFLU0597	PSPTO_4881
OG0000027	PA4067	PFLU5483	PSPTO_0679
OG0000028	PA4579	PFLU5323	PSPTO_4587
OG0000029	PA4739	PFLU5248	PSPTO_4484
OG0000030	PA4894	PFLU0560	PSPTO_4912
OG0000031	PA5096, PA5103	PFLU0363	
OG0000032	PA5133	PFLU0336	PSPTO_5328
OG0000033	PA5233	PFLU5891	PSPTO_5230
OG0000034	PA5461, PA5462	PFLU0107	
OG0000035	PA5489	PFLU0083	PSPTO_0341
OG0000036	PA5491	PFLU5964	PSPTO_2849
OG0000037		PFLU2473	PSPTO_0364, PSPTO_2707
OG0000038		PFLU5667	PSPTO_0393, PSPTO_2033
OG0000039	PA0040		PSPTO_3230
OG0000040	PA0270	PFLU3498	
OG0000041	PA0688	PFLU2427	
OG0000042	PA0764	PFLU1469	
OG0000043	PA1343	PFLU5896	
OG0000044	PA1863	PFLU2971	
OG0000045	PA0007, PA2077		
OG0000046	PA2395	PFLU2548	
OG0000047	PA2410		PSPTO_2138
OG0000048	PA2614	PFLU3800	
OG0000049	PA3075	PFLU3511	
OG0000050	PA3203	PFLU4883	
OG0000051	PA3421	PFLU5147	
OG0000052	PA3576	PFLU0659	
OG0000053	PA3737		PSPTO_1479
OG0000054	PA3858	PFLU5729	
OG0000055	PA4384	PFLU1525	
OG0000056	PA4578, PA4607		
OG0000057	PA4922	PFLU0545	
OG0000058	PA5112		PSPTO_0569
OG0000059	PA5217		PSPTO_0314
OG0000060	PA5494	PFLU0078	
OG0000061	PA5537	PFLU6086A	
OG0000062	PA0020		PSPTO_0176
OG0000063		PFLU0304, PFLU0735	
OG0000064		PFLU0334	PSPTO_5330
OG0000065		PFLU0346	PSPTO_0357
OG0000066		PFLU0591	PSPTO_5562
OG0000067		PFLU1008, PFLU1014	
OG0000068		PFLU1082	PSPTO_4209
OG0000069		PFLU1091, PFLU1612	
OG0000070		PFLU1236	PSPTO_1506
OG0000071		PFLU1715	PSPTO_1766
OG0000072		PFLU1765	PSPTO_3628
OG0000073		PFLU1890	PSPTO_4610
OG0000074		PFLU2039	PSPTO_3878
OG0000075		PFLU2300	PSPTO_3003
OG0000076		PFLU2343	PSPTO_2667
OG0000077		PFLU2446	PSPTO_3306
OG0000078		PFLU2583	PSPTO_3490
OG0000079		PFLU2663	PSPTO_2733
OG0000080		PFLU2918	PSPTO_3599
OG0000081		PFLU2940	PSPTO_2132
OG0000082		PFLU3318	PSPTO_3269
OG0000083		PFLU3577	PSPTO_0486
OG0000084		PFLU3721, PFLU4087	
OG0000085		PFLU4149	PSPTO_2377
OG0000086		PFLU4163	PSPTO_2364
OG0000087		PFLU4501	PSPTO_1698
OG0000088		PFLU4824	PSPTO_3092
OG0000089		PFLU5112	PSPTO_1895
OG0000090		PFLU5372	PSPTO_4658
OG0000091		PFLU5479	PSPTO_0683
OG0000092		PFLU5801	PSPTO_0436
OG0000093		PFLU5952	PSPTO_2586
OG0000094			PSPTO_5633, PSPTO_B0003
OG0000095			PSPTO_0367, PSPTO_3288
OG0000096			PSPTOA0052, PSPTO_B0060
